Sentence,True Sentiment,Predicted Sentiment,Model Confidence
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .@neutral",,neutral sentiment,0.9997367858886719
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .@negative,,negative sentiment,0.9998409152030945
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .@positive",,positive sentiment,0.9997925162315369
Travel expenses would be reimbursed in accordance with the travel policy of the company .@neutral,,neutral sentiment,0.9997705221176147
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .@neutral",,neutral sentiment,0.9998507499694824
"In 2007 , almost two thirds of Orion 's net sales came from these drugs .@neutral",,neutral sentiment,0.999683678150177
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .@positive",,positive sentiment,0.9998119473457336
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .@negative",,negative sentiment,0.9995965957641602
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .@positive,,positive sentiment,0.9961780309677124
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .@neutral",,neutral sentiment,0.9997979998588562
"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .@positive",,positive sentiment,0.999875009059906
Scanfil expects net sales in 2008 to remain at the 2007 level .@neutral,,neutral sentiment,0.9993112087249756
The profit after taxes was EUR 57.7 11.1 million .@neutral,,neutral sentiment,0.9997979402542114
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .@neutral",,neutral sentiment,0.9994842410087585
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .@positive",,positive sentiment,0.9998549818992615
"Operating profit for the 12-month period decreased from EUR2 .9 m while turnover increased from EUR24 .5 m , as compared to the financial year 2004 .@negative",,negative sentiment,0.9998275637626648
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .@neutral",,neutral sentiment,0.9997624754905701
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .@positive",,positive sentiment,0.9998934268951416
"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .@neutral",,neutral sentiment,0.9995648860931396
"The number of class A shares remains unchanged at 9,526,089 shares .@neutral",,neutral sentiment,0.9997690320014954
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .@neutral",,neutral sentiment,0.9996532797813416
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .@neutral",,neutral sentiment,0.9998487830162048
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .@positive",,positive sentiment,0.9998878240585327
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .@positive",,positive sentiment,0.999614417552948
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .@negative",,negative sentiment,0.9998576045036316
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .@neutral,,neutral sentiment,0.9997120499610901
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .@positive",,positive sentiment,0.9998420476913452
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .@neutral",,neutral sentiment,0.9998870491981506
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .@positive,,positive sentiment,0.9998098611831665
Return on investment was 16.6 % compared to 15.8 % in 2004 .@positive,,positive sentiment,0.999511182308197
"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .@neutral",,neutral sentiment,0.9998723864555359
"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million .@neutral",,neutral sentiment,0.9997290968894958
The company has a wide selection of metal products and services .@neutral,,neutral sentiment,0.9997738003730774
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .@positive",,positive sentiment,0.9998801350593567
Elcoteq 's revenues in 2007 were approximately EUR 120 million .@neutral,,neutral sentiment,0.9996932744979858
"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland .@neutral",,neutral sentiment,0.9997376799583435
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .@positive",,positive sentiment,0.9997707009315491
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .@neutral,,neutral sentiment,0.9997614026069641
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .@neutral",,neutral sentiment,0.9998350143432617
Aspo serves demanding business-to-business customers .@neutral,,neutral sentiment,0.9996857643127441
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .@neutral",,neutral sentiment,0.9998648762702942
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .@positive",,positive sentiment,0.9998804330825806
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .@neutral",,neutral sentiment,0.9997348785400391
"`` Adjustment to the fall in price level , in contrast , has been less effective .@negative",,negative sentiment,0.9997230172157288
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .@positive",,positive sentiment,0.9998689293861389
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .@negative",,negative sentiment,0.9998522996902466
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .@positive",,positive sentiment,0.9998829364776611
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .@positive,,positive sentiment,0.9998065829277039
"Most of the new substations support EDGE technology , which enables faster data traffic .@neutral",,neutral sentiment,0.9998648762702942
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .@positive",,positive sentiment,0.9998212456703186
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .@neutral",,positive sentiment,0.9894099831581116
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .@positive,,positive sentiment,0.9997887015342712
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .@positive,,positive sentiment,0.9998804926872253
The credit covers approximately 70 % of the ship 's price .@neutral,,neutral sentiment,0.9998461008071899
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .@negative,,negative sentiment,0.9996207356452942
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .@neutral",,neutral sentiment,0.5625532865524292
"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .@neutral",,neutral sentiment,0.9997615218162537
The company has exported into about twenty European countries as well as to Africa .@neutral,,neutral sentiment,0.9998481273651123
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .@neutral",,neutral sentiment,0.9927347898483276
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .@neutral",,neutral sentiment,0.9998580813407898
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .@positive",,positive sentiment,0.9838335514068604
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .@neutral",,neutral sentiment,0.9998100399971008
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .@neutral",,neutral sentiment,0.9997923374176025
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .@neutral,,neutral sentiment,0.999866783618927
"The sale will be finalized in September or October , the company said .@neutral",,neutral sentiment,0.9997692108154297
The value of the orders is about EUR 70mn .@neutral,,neutral sentiment,0.9998618960380554
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .@neutral",,neutral sentiment,0.9993753433227539
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .@neutral,,neutral sentiment,0.999733567237854
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .@neutral,,neutral sentiment,0.9980016350746155
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .@positive,,positive sentiment,0.9685211777687073
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .@neutral",,negative sentiment,0.996317982673645
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .@negative",,negative sentiment,0.9996092319488525
"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .@neutral",,neutral sentiment,0.9996887445449829
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .@positive,,positive sentiment,0.9997541904449463
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .@negative",,negative sentiment,0.9998523592948914
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .@neutral",,neutral sentiment,0.9998862147331238
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .@positive,,positive sentiment,0.9881248474121094
Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .@positive,,positive sentiment,0.9976497292518616
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .@neutral",,neutral sentiment,0.9997538328170776
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .@positive",,positive sentiment,0.9968072175979614
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .@positive,,positive sentiment,0.9991413950920105
"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .@neutral",,neutral sentiment,0.9880662560462952
"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''@positive",,positive sentiment,0.9991029500961304
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .@neutral",,neutral sentiment,0.9998474717140198
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .@neutral",,neutral sentiment,0.9998421669006348
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .@neutral",,neutral sentiment,0.9998162388801575
"According to Finnish L+ñnnen Tehtaat 's CEO Matti Karppinen , now that L+ñnnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .@neutral",,neutral sentiment,0.9996238946914673
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .@positive",,positive sentiment,0.999835193157196
"However , the growth margin slowed down due to the financial crisis .@negative",,negative sentiment,0.9998207092285156
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .@neutral",,neutral sentiment,0.999832808971405
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .@positive",,positive sentiment,0.9998666048049927
"Secure your files online Like filling out a tax return , making a backup is boring .@neutral",,neutral sentiment,0.999308168888092
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .@negative",,negative sentiment,0.9994783401489258
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .@positive",,positive sentiment,0.9998614192008972
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .@neutral",,neutral sentiment,0.7822957038879395
The parties have agreed not to disclose the transaction value .@neutral,,neutral sentiment,0.9998492002487183
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .@positive",,positive sentiment,0.9998397827148438
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .@neutral",,neutral sentiment,0.9997835755348206
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .@positive",,positive sentiment,0.9911916255950928
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .@negative",,negative sentiment,0.9998456239700317
It is a solid credit that has been compared to a DZ Bank or a Rabobank .@positive,,positive sentiment,0.9997810125350952
Pohjola and cooperative banks have continued to combine their branch office network .@neutral,,neutral sentiment,0.9997674822807312
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .@neutral",,neutral sentiment,0.9965639710426331
The new activity will incur an investment of about 5 MEUR .@neutral,,neutral sentiment,0.9998369216918945
Scanfil has also issued a profit warning .@negative,,negative sentiment,0.9998139142990112
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .@positive,,positive sentiment,0.9997099041938782
"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .@neutral",,neutral sentiment,0.9998521208763123
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .@neutral",,neutral sentiment,0.9997626543045044
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .@neutral",,neutral sentiment,0.9998301863670349
Other details were not provided .@neutral,,neutral sentiment,0.9995905160903931
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .@positive",,positive sentiment,0.9998245239257812
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .@neutral,,neutral sentiment,0.9996915459632874
"Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board .@neutral",,neutral sentiment,0.9998595118522644
Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .@positive,,positive sentiment,0.997953474521637
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .@neutral",,neutral sentiment,0.9992323517799377
"Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+¬maco Borba mill in the Brazilian state of Paran+í .@positive",,positive sentiment,0.9883151054382324
"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .@neutral",,neutral sentiment,0.9997971057891846
The reductions will be concluded by autumn 2010 .@neutral,,neutral sentiment,0.9996565580368042
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .@neutral",,neutral sentiment,0.9998760223388672
European traffic grew nearly 30 % .@positive,,positive sentiment,0.9998668432235718
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .@negative",,negative sentiment,0.9998195767402649
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .@negative",,negative sentiment,0.9998400211334229
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .@positive,,positive sentiment,0.9962296485900879
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .@positive",,positive sentiment,0.9686704277992249
Otherwise the situation is under control .@neutral,,neutral sentiment,0.9996250867843628
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .@positive,,positive sentiment,0.9998624324798584
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .@neutral",,neutral sentiment,0.9997787475585938
It estimates the operating profit to further improve from the third quarter .@positive,,positive sentiment,0.9998781681060791
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .@neutral",,neutral sentiment,0.999504804611206
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .@negative",,negative sentiment,0.9991276860237122
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .@neutral",,neutral sentiment,0.9997623562812805
"According to product manager Lassi Hietanen , building a power plant that burns mixed waste in Helsinki may not be a good idea because this reduces the production of combined power plants using natural gas .@neutral",,neutral sentiment,0.9990150332450867
"ISMS does not disclose its financial results , the daily said .@neutral",,neutral sentiment,0.9995079040527344
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .@positive,,positive sentiment,0.9998742938041687
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .@neutral",,neutral sentiment,0.9998490214347839
In addition the deal includes a call option which will enable Maritim Food AS to increase its holding in Sandanger AS to 51 % in the future .@positive,,positive sentiment,0.9887194633483887
"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .@positive",,positive sentiment,0.9997760057449341
"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .@neutral",,negative sentiment,0.9797447323799133
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .@neutral",,neutral sentiment,0.9996691346168518
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .@neutral,,neutral sentiment,0.9998078942298889
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .@neutral",,neutral sentiment,0.9996617436408997
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .@positive",,positive sentiment,0.9997338652610779
The new policy was also aimed at making the companies more profitable and competitive .@positive,,positive sentiment,0.9989121556282043
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1@positive",,positive sentiment,0.9998361468315125
"According to Olvi , the company is already negotiating new agreements .@neutral",,neutral sentiment,0.9997186064720154
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .@positive",,positive sentiment,0.9998372197151184
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .@neutral,,neutral sentiment,0.9994664192199707
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .@negative",,negative sentiment,0.9998419880867004
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .@positive,,positive sentiment,0.9970335364341736
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .@negative,,negative sentiment,0.9977883696556091
"Ethanol would be made from barley , and production could start in 2008 .@neutral",,neutral sentiment,0.9997010827064514
Stora Enso will receive a 19.9 pct equity interest in the combined company .@neutral,,neutral sentiment,0.9998334646224976
"The most popular mobile data services are email , surfing the internet , as well as news and weather services .@neutral",,neutral sentiment,0.9998073577880859
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .@neutral",,positive sentiment,0.6855613589286804
